DATA		MARCO / EVENTO	Âmbito	Tópico 1 	Tópico 2	Tópico 3
27/04/1974	TRUE	Primeira reunião do Conselho Escolar pós golpe militar	Iscte	1972-1981	Comunidade	
29/04/1974	TRUE	Decreto-Lei nº 176/74 exonora os reitores, vice-reitores das universidades, directores das faculdades, escolas ou institutos universitários	Nacional	1972-1981	Comunidade	
2/05/1974	TRUE	Eleição de uma Comissão Directiva	Iscte	1972-1981	Comunidade	
2/05/1974	TRUE	Extinção do Conselho Escolar pela Assembleia plenária do ISCTE	Iscte	1972-1981	Comunidade	
16/05/1974	TRUE	Mário Murteira ministro dos Assuntos Sociais	Iscte	1972-1981	Comunidade	Pessoas
28/05/1974	TRUE	Criação de um Conselho Diretivo. Decreto-Lei n.º 225/74, Diário do Governo n.º 124/1974, Série I de 1974-05-28	Iscte	1972-1981	Comunidade	
26/06/1974	TRUE	Protestos de estudantes do ISCTE por um controlo democrático do ensino	Iscte	1972-1981	Comunidade	
24/07/1974	TRUE	Grécia: Queda da ditadura dos Coronéis	Internacional	1972-1981		
26/08/1974	TRUE	Independência de Cabo Verde	Internacional	1972-1981		
30/09/1974	TRUE	Número de Discentes: 879	Iscte	1972-1981	Comunidade	
26/03/1975	TRUE	Mário Murteira ministro do Planeamento e Coordenação Económica	Iscte	1972-1981	Comunidade	Pessoas
30/04/1975	TRUE	Rendição de Saigão. Fim da Guerra do Vietname	Internacional	1972-1981		
25/06/1975	TRUE	Independência de Moçambique	Internacional	1972-1981		
12/07/1975	TRUE	Independência de São Tomé e Príncipe	Internacional	1972-1981		
1/08/1975	TRUE	 Acordos de Helsínquia	Internacional	1982-1991		
11/11/1975	TRUE	Independência de Angola	Internacional	1972-1981		
20/11/1975	TRUE	Espanha: Fim do regime franquista	Internacional	1972-1981		
9/07/1976	TRUE	Instituto Nacional de Investigação Científica (1976-1992)	Nacional	1972-1981	Investigação	
31/12/1976	TRUE	Início da construção do Edifício I, atual Sedas Nunes	Iscte	1972-1981	Campus	Infraestruturação
3/05/1977	TRUE	José Joaquim Laginha eleito presidente do Conselho Diretivo	Iscte	1972-1981	Comunidade	Pessoas
30/09/1977	TRUE	Discentes: 1569	Iscte	1972-1981	Comunidade	
10/11/1977	TRUE	Desanexação da Universidade Nova de Lisboa. Decreto-Lei n.º 463-A/77, DR n.º 260/1977, 1º Suplemento, Série 1 de 10 de Novembro	Iscte	1972-1981	Estatuto	
31/12/1977	TRUE	Mário Murteira eleito presidente do Conselho Pedagógico	Iscte	1972-1981	Comunidade	Pessoas
5/04/1978	TRUE	Licenciatura em Sociologia. Decreto Regulamentar n.º 10/78 - DR n.º 627/1978, Série II de 5 de Abril	Iscte	1972-1981	Ensino	
5/05/1978	TRUE	Adérito Sedas Nunes eleito presidente do Conselho Científico	Iscte	1972-1981	Comunidade	Pessoas
6/12/1978	TRUE	Institucionalização do Numerus Clausus	Nacional	1972-1981	Comunidade	
31/12/1978	TRUE	Edifício1 (11.349 m2)	Iscte	1972-1981	Campus	Infraestruturação
26/04/1979	TRUE	Francisco Pina Prata eleito presidente do Conselho Diretivo	Iscte	1972-1981	Comunidade	Pessoas
2/05/1979	TRUE	Criação do Conselho de Reitores das Universidades Portuguesas (CRUP)	Nacional	1972-1981		
3/07/1979	TRUE	José Joaquim Laginha eleito presidente do Conselho Pedagógico	Iscte	1972-1981	Comunidade	Pessoas
1/08/1979	TRUE	Adérito Sedas Nunes ministro da Cultura e da Ciência	Iscte	1972-1981	Comunidade	Pessoas
13/11/1979	TRUE	Estatuto da Carreira Docente Universitário. Decreto-Lei n.º 448/79. DR n.º 262/1979, Série I de 13 de Novembro	Nacional	1972-1981	Comunidade	
5/12/1979	TRUE	Universidade Técnica de Lisboa rejeita integrar ISCTE	Iscte	1972-1981	Estatuto	
1/01/1980	TRUE	Terramoto em Angra do Heroísmo	Nacional	1972-1981		
7/03/1980	TRUE	Emissão regular de televisão a cores	Nacional	1972-1981		
19/03/1980	TRUE	Eduardo Gomes Cardoso eleito presidente do Conselho Diretivo	Iscte	1972-1981	Comunidade	Pessoas
19/03/1980	TRUE	Francisco Pina Prata eleito presidente do Conselho Pedagógico	Iscte	1972-1981	Comunidade	Pessoas
4/12/1980	TRUE	Morte de Francisco Sá Carneiro, 1934-1980	Nacional	1972-1981		Pessoas
1/01/1981	TRUE	UE: adesão da Grécia	Internacional	1972-1981		
12/03/1981	TRUE	Negociações com a Universidade de Lisboa com vista à integração 	Iscte	1972-1981	Estatuto	
7/04/1981	TRUE	Projeto ISCTE: Gestão Sociologia Tecnologia	Iscte	1972-1981	Estatuto	Comunidade
29/04/1981	TRUE	Memorial O ISCTE e a Universidade (apresentado à DGES)	Iscte	1972-1981	Estatuto	Identidade
18/01/1982	TRUE	José Madureira Pinto primeiro doutorado pelo ISCTE (Sociologia)	Iscte	1982-1991	Memória	Pessoas
1/07/1982	TRUE	Mário Murteira eleito presidente do Conselho Científico	Iscte	1982-1991	Comunidade	Pessoas
30/09/1982	TRUE	Discentes: 2268	Iscte	1982-1991	Comunidade	
29/10/1982	TRUE	Licenciatura em Antropologia Social; Decreto n.º 121/82 - DR n.º 251/1982, Série 2 de 29 de Outubro	Iscte	1982-1991	Ensino	
1/01/1983	TRUE	International Association for the Exchange of Students for Technical Experience (AIESTE)	Iscte	1982-1991	Redes	
29/04/1983	TRUE	Atribuição dos graus de mestre e doutor pelo Iscte através da Universidade Técnica de Lisboa (UTL)	Internacional	1982-1991	Comunidade	Ensino
20/12/1983	TRUE	Ler História nº1	Iscte	1982-1991	Investigação	
29/05/1984	TRUE	Regime jurídico do pessoal não docente. Decreto Lei 184/84 de 29 de Maio;  https://dre.pt/dre/detalhe/decreto-lei/184-1984-384274	Iscte	1982-1991	Comunidade	
18/07/1984	TRUE	Associação de Estudos de história contemporânea portuguesa	Iscte	1982-1991	Investigação	Redes
12/08/1984	TRUE	Carlos Lopes ganha ouro olímpico na maratona de Los Angeles	Internacional	1982-1991		Pessoas
27/09/1984	TRUE	José Manuel Prostes da Fonseca eleito presidente do Conselho Diretivo	Iscte	1982-1991	Comunidade	Pessoas
22/11/1984	TRUE	Criação do Centro Interdisciplinar de Estudos Económicos (CIDEC)	Iscte	1982-1991	Prestação de Serviços	Redes
1/01/1985	TRUE	Revista de Gestão	Iscte	1982-1991	Investigação	
19/06/1985	TRUE	Centro de Investigação e Estudos de Sociologia, C.R.L. (CIES)	Iscte	1982-1991	Investigação	Redes
2/09/1985	TRUE	Entrada em funcionamento da rede MB	Nacional	1982-1991		
1/01/1986	TRUE	Adesão de Portugal e Espanha à CEE	Internacional	1982-1991		
26/04/1986	TRUE	Acidente nuclear na central de Chernobil, URSS	Internacional	1982-1991		
9/06/1986	TRUE	Centro de Estudos de Antropologia Social (CEAS)	Iscte	1982-1991	Investigação	Redes
30/06/1986	TRUE	Sociologia, Problemas e Práticas, nº1	Iscte	1982-1991	Investigação	
14/10/1986	TRUE	Lei de bases do sistema educativo	Nacional	1982-1991	Comunidade	
23/12/1986	TRUE	Criação da Fundação para o desenvolvimento dos meios nacionais de cálculo científico (FCCN)	Nacional	1982-1991	Comunidade	Infraestruturação
13/06/1987	TRUE	Programa Erasmus (Manuel Marín, 1949-2017, entre os seus promotores europeus) 	Internacional	1982-1991	Pessoas	Redes
16/12/1987	TRUE	JUSOECONOMIAE -Centro de estudos de direito de empresas da administração pública e das comunidades europeias	Iscte	1982-1991	Investigação	Redes
15/02/1988	TRUE	Retirada militar soviética do Afeganistão	Internacional	1982-1991		
26/07/1988	TRUE	Mestrado em Sociologia; Portaria n.º 491/88, DR nº 171/1988, Série 1 de 26 de Julho	Iscte	1982-1991	Ensino	
27/07/1988	TRUE	Mestrado em Ciências Empresariais; Portaria n.º 496/88, DR nº 172/1988, Série 2 de 27 de Julho	Iscte	1992-2001	Ensino	
24/08/1988	TRUE	Constituição da Associação de Estudantes (atual AEISCTE-IUL)	Iscte	1982-1991	Comunidade	Redes
25/08/1988	TRUE	Incêndio no Chiado, Lisboa	Nacional	1982-1991		
23/09/1988	TRUE	Rosa Mota ganha ouro olímpico na maratona de Seul	Internacional	1982-1991		Pessoas
24/09/1988	TRUE	Lei da autonomia universitária, Lei n.º 108/88, de 24 de setembro	Nacional	1982-1991	Comunidade	
30/09/1988	TRUE	Discentes: 2893	Iscte	1982-1991	Comunidade	
2/11/1988	TRUE	Constituição da associação do INDEG	Iscte	1982-1991	Prestação de Serviços	Comunidade
9/11/1988	TRUE	Constituição da Associação para o Desenvolvimento das Telecomunicações e Técnicas de Informática (ADETTI)	Iscte	1982-1991	Investigação	Redes
18/11/1988	TRUE	GIESTA-ISCTE Grupo de Investigação em Estatística e Análise de Dados	Iscte	1982-1991	Investigação	Redes
11/04/1989	TRUE	Centro de Estudos sobre Mudanças Socioeconomicas (DINAMIA)	Iscte	1982-1991	Investigação	Redes
14/04/1989	TRUE	Aprovação de símbolo institucional. Despacho 1/CD/89, DR nº. 127, 2ª Série de 3 de Junho	Iscte	1982-1991	Identidade	Memória
4/06/1989	TRUE	Repressão pelo exército dos manifestantes na praça Tianamen, em Pequim	Internacional	1982-1991		
12/07/1989	TRUE	Licenciatura em Informática e Gestão de Empresas; Portaria n.º 536/89 - DR n.º 158/1989, Série 2 de 12 de Julho	Iscte	1982-1991	Ensino	
25/07/1989	TRUE	Primeiro Doutoramento em Antropologia Social, José Fialho Feliciano	Iscte	1982-1991	Memória	Pessoas
2/11/1989	TRUE	Assembleia Extraordinária de Escola aprecia alterações jurídicas 	Iscte	1982-1991	Estatuto	
9/11/1989	TRUE	Queda do Muro de Berlim	Internacional	1982-1991		
4/01/1990	TRUE	Estatutos do ISCTE	Iscte	1982-1991	Estatuto	
23/03/1990	TRUE	Afonso de Barros, presidente do ISCTE	Iscte	1982-1991	Comunidade	Pessoas
2/08/1990	TRUE	Primeira Guerra do Golfo	Internacional	1982-1991		
26/11/1990	TRUE	Centro de Estudos Africanos ISCTE (CEA ISCTE)	Iscte	1982-1991	Investigação	Redes
7/12/1990	TRUE	Criação da Tuna académica	Iscte	1982-1991	Comunidade	
27/02/1991	TRUE	Centro de Estudos Territoriais (CET)	Iscte	1982-1991	Investigação	Redes
14/05/1991	TRUE	Primeiro McDonald's em Portugal	Nacional	1982-1991		
8/11/1991	TRUE	Fim da URSS	Internacional	1982-1991		
16/12/1991	TRUE	Centro de Investigação e de Intervenção Social (CIS)	Iscte	1982-1991	Investigação	Redes
1/01/1992	TRUE	Revista Portuguesa de Gestão	Iscte	1992-2001	Investigação	
02/01/1992	TRUE	Acesso à Internet	Iscte	1992-2001	Infraestruturação	Redes
8/04/1992	TRUE	João Ferreira de Almeida presidente do Iscte	Iscte	1992-2001	Comunidade	
3/06/1992	TRUE	ECO-92, Rio de Janeiro	Internacional	1992-2001		
08/10/1992	TRUE	Primeiro mestre em Sociologia, Luís Capucha	Iscte	1982-1991	Memória	Pessoas
6/10/1992	TRUE	SIC: primeiro canal televisivo privado	Nacional	1992-2001		
15/12/1992	TRUE	20º aniversário (medalha)	Iscte	1992-2001	Memória	Identidade
30/03/1993	TRUE	Sociologia Problemas e Práticas nº 13: Dossiê ISCTE Os primeiros 20 anos	Iscte	1992-2001	Memória	Identidade
11/06/1993	TRUE	Inauguração do edifício do INDEG (área 30.153 m2)	Iscte	1992-2001	Campus	
10/07/1993	TRUE	Fundação das Universidades Portuguesas	Nacional	1992-2001		
20/07/1993	TRUE	Licenciatura em Gestão e Engenharia Industrial; Despacho n.º 23/93 - DR n.º 168/1993, Série 2 de 20 de Julho	Iscte	1992-2001	Ensino	
20/07/1993	TRUE	Licenciatura em Sociologia e Planeamento; Despacho n.º 22/93 - DR n.º 168/1993, Série 2 de 20 e Julho	Iscte	1992-2001	Ensino	
15/09/1993	TRUE	General Meeting European Association Social Psicology no ISCTE	Iscte	1992-2001	Investigação	Redes
30/09/1993	TRUE	Discentes: 3531	Iscte	1992-2001	Comunidade	
1/11/1993	TRUE	Tratado de Maastricht	Internacional	1992-2001		
1/01/1994	TRUE	 Entrada em vigor do acordo ortográfico	Nacional	1992-2001	Comunidade	
14/02/1994	TRUE	Unidade de Investigação em Ciências Sociais (UNICS)	Iscte	1992-2001	Investigação	Redes
14/02/1994	TRUE	Unidade de Investigação em Desenvolvimento Empresarial (UNIDE)	Iscte	1992-2001	Investigação	Redes
7/03/1994	TRUE	Primeiro Doutoramento em Psicologia Social e Organizacional, Maria Luísa Pedroso Lima	Iscte	1992-2001	Memória	Pessoas
7/04/1994	TRUE	Genocídio no Ruanda	Internacional	1992-2001		
10/05/1994	TRUE	Nelson Mandela presidente da África do Sul	Internacional	1992-2001		Pessoas
5/07/1994	TRUE	Licenciatura em Economia. Despacho n.º 6/94, DR n.º 153/1994, Série 2 de 5 de Julho	Iscte	1992-2001	Ensino	
15/09/1994	TRUE	Cave corpo sul (717 m2)	Iscte	1992-2001	Campus	
15/09/1994	TRUE	Pavilhão-esplanada (119 m2)	Iscte	1992-2001	Campus	
17/11/1994	TRUE	Primeiro Doutoramento em Organização e Gestão de Empresas OGE, Victor Roldão	Iscte	1992-2001	Memória	Pessoas
1/01/1995	TRUE	UE: adesão da Áustria, Finlândia e Suécia	Internacional	1992-2001		
5/06/1995	TRUE	Adjudicação do traje académico	Iscte	1992-2001	Identidade	
6/07/1995	TRUE	Ler História Associação de Actividades Científicas	Iscte	1992-2001	Investigação	
11/07/1995	TRUE	Licenciatura em Psicologia Social e Organizacional; Despacho 14/95 - DR n.º158/1995, Série 2 de 11 de Julho	Iscte	1992-2001	Ensino	
15/09/1995	TRUE	Ala Autónoma (5.183 m2)	Iscte	1992-2001	Campus	
29/01/1996	TRUE	Licenciatura em História Moderna e Contemporânea; Despacho n.º 1/96 - Diário da República n.º 24/1996, Série II de 1996-01-29	Iscte	1992-2001	Ensino	
28/03/1996	TRUE	Primeiro Doutoramento em História Social Contemporânea, Carlos Mauricio	Iscte	1992-2001	Memória	Pessoas
30/04/1996	TRUE	Departamento de Ciências e Tecnologias de Informação	Iscte	1992-2001	Comunidade	
26/06/1996	TRUE	Licenciatura em Gestão de Recursos Humanos. Despacho n.º 13/96 - DR n.º 146/1996, Série2 de 26 de Junho	Iscte	1992-2001	Ensino	
30/06/1996	TRUE	Revista Economia Global e Gestão	Iscte	1992-2001	Investigação	
3/08/1996	TRUE	Fernanda Ribeiro ganha ouro nos Jogos Olímpicos de Atlanta (10.000 m.)	Internacional	1992-2001		Pessoas
13/10/1996	TRUE	Site ISCTE (1ª versão arquivada)	Iscte	1992-2001	Infraestruturação	
13/12/1996	TRUE	João Freire eleito presidente do Conselho Científico	Iscte	1992-2001	Comunidade	Pessoas
13/12/1996	TRUE	Manuel Alberto Martins Ferreira eleito presidente do Conselho Diretivo	Iscte	1992-2001	Comunidade	Pessoas
30/05/1997	TRUE	Lançamento da revista Etnográfica	Iscte	1992-2001	Investigação	
28/07/1997	TRUE	FCT; Decreto-Lei n.º 188/97, DR nº 172/1997, Série 1-A de 28 de Julho	Nacional	1992-2001	Investigação	
28/07/1997	TRUE	JNICT (1967-1997)	Nacional	1992-2001	Investigação	
2/10/1997	TRUE	Acordo de Schengen	Internacional	1992-2001		
15/12/1997	TRUE	25º aniversário (medalha)	Iscte	1992-2001	Memória	Identidade
15/12/1997	TRUE	25º aniversário (pisa papéis)	Iscte	1992-2001	Memória	Identidade
17/02/1998	TRUE	Departamento de Métodos Quantitativos	Iscte	1992-2001	Comunidade	
26/02/1998	TRUE	Guerra do Kosovo	Internacional	1992-2001		
23/03/1998	TRUE	Licenciatura em Engenharia de Telecomunicações e Informática; Despacho n.º 7772/98, de 23 de Março, publicado no Diário da República, 2.ª série, n.º 107, de 9 de Maio de 1998	Iscte	1992-2001	Ensino	
23/03/1998	TRUE	Licenciatura em Finanças; Despacho n.º 9675/98 - DR n.º 130/1998, Série 2 de 5 de Junho	Iscte	1992-2001	Ensino	
22/05/1998	TRUE	Abertura da EXPO98, Lisboa	Internacional	1992-2001		
21/07/1998	TRUE	Primeiro Doutoramento em Economia, Raúl Manuel Gonçalves Lopes	Iscte	1992-2001	Memória	Pessoas
29/07/1998	TRUE	Licenciatura em Arquitetura; Despacho n.º 13 051/98 - Diário da República n.º 173/1998, Série II de 1998-07-29	Iscte	1992-2001	Ensino	
3/09/1998	TRUE	Catálogo da biblioteca em linha	Iscte	1992-2001	Infraestruturação	
6/10/1998	TRUE	Primeiro doutoramento em Ciências e Tecnologias da Informação, Miguel Sales Dias	Iscte	1992-2001	Memória	Pessoas
8/10/1998	TRUE	Atribuição do prémio Nobel da Literatura a José Saramago	Internacional	1992-2001		
31/12/1998	TRUE	O acervo da Biblioteca do Iscte é composto por cerca de 130 000 exemplares (monografias, obras de referência, teses e dissertações), 20 000 e-books e 67 000 periódicos, em suporte papel e digital	Iscte	2012-2022	Infraestruturação	Comunidade
2/01/1999	TRUE	Secção autónoma de Direito; Despacho nº 2399, Diário da República 2ª Série nº 1 de 2 de Janeiro	Iscte	1992-2001	Comunidade	
12/03/1999	TRUE	Honoris Causa atribuído a Immanuel Wallerstein ✝︎	Iscte	1992-2001	Identidade	Pessoas
10/06/1999	TRUE	Declaração de Bolonha EEES	Internacional	1992-2001		
19/08/1999	TRUE	Departamento de Psicologia Social e das Organizações; Despacho 18344/99, DR nº 221, 2ªSérie de 21 de Setembro	Iscte	1992-2001	Comunidade	
30/08/1999	TRUE	Independência de Timor Leste	Internacional	1992-2001		
2/09/1999	TRUE	Criação do Prémio Silva Leal	Iscte	1992-2001	Memória	Comunidade
8/09/1999	TRUE	Cordão humano por Timor-Leste	Nacional	1992-2001	Comunidade	Pessoas
25/10/1999	TRUE	Eduardo Ferro Rodrigues ministro do Trabalho e da Solidariedade	Iscte	1992-2001	Comunidade	Pessoas
20/12/1999	TRUE	Transferência da soberania de Macau à China	Internacional	1992-2001		
1/01/2000	TRUE	Cidades, Comunidades e Territórios	Iscte	1992-2001	Investigação	
29/03/2000	TRUE	Licenciatura em Marketing; Despacho n.º 6878/2000 - DR n.º 75/2000, Série 2 de 29 de Março		1992-2001	Ensino	
3/08/2000	TRUE	Publicação dos estatutos ISCTE passa a escola superior não integrada; Despacho Normativo n.º 37/2000, DR n.º 205/2000, Série 1-B de 5 de Setembro	Iscte	1992-2001	Estatuto	
10/03/2001	TRUE	Eduardo Ferro Rodrigues ministro do Equipamento Social	Iscte	1992-2001	Comunidade	Pessoas
10/03/2001	TRUE	Paulo Pedroso ministro do Trabalho e da Solidariedade 	Iscte	1992-2001	Comunidade	Pessoas
11/09/2001	TRUE	Atentado ao World Trade Center, Nova Iorque	Internacional	1992-2001		
17/09/2001	TRUE	Criação do grupo de teatro mISCuTEm	Iscte	1992-2001	Comunidade	
3/10/2001	TRUE	Eduardo Ferro Rodrigues ministro do Equipamento Social	Nacional	1992-2001	Comunidade	Pessoas
7/10/2001	TRUE	Guerra do Afeganistão	Internacional	1992-2001		
31/12/2001	TRUE	Criação do Departamento de Finanças	Iscte	1992-2001	Comunidade	
1/01/2002	TRUE	Euro entra em circulação	Internacional	2002-2011		
1/01/2002	TRUE	Trajectos, Revista de Comunicação, Cultura e Educação, nº. 1	Iscte	2002-2011	Investigação	
14/02/2002	TRUE	XIV Governo aprova passagem do Iscte a Universidade Metropolitana (não homologado)	Iscte	2002-2011	Estatuto	
27/02/2002	TRUE	Departamento de História; Despacho ministerial nº 6365/2002, DR nº 69, 2º Série de 22 de Março	Iscte	2002-2011	Comunidade	
1/04/2002	TRUE	Revista Portuguesa e Brasileira de Gestão (RPBG), vol. 1, nº 1 sucede à Revista Portuguesa de Gestão (RPG)	Iscte	2002-2011	Investigação	
6/04/2002	TRUE	Luís Filipe Pereira ministro da Saúde	Iscte	2002-2011	Comunidade	Pessoas
17/05/2002	TRUE	Formalização do Centro de informática (CIISCTE)	Iscte	2002-2011	Infraestruturação	Campus
1/06/2002	TRUE	Edifício II: Grande Auditório (497 lugares)	Iscte	2002-2011	Campus	
1/06/2002	TRUE	Entrada em funcionamento edifício 2  (30.501 m2)	Iscte	2002-2011	Campus	Infraestruturação
18/11/2002	TRUE	Primeiro doutoramento em Estudos Africanos, Vitor Hugo Nicolau	Iscte	2002-2011	Memória	Pessoas
31/12/2002	TRUE	Praça central (2.315 m2)	Iscte	2002-2011	Campus	
27/01/2003	TRUE	Licenciatura em Engenharia informática; Deliberação n.º 627/2003 - DR n.º 105/2003, Série 2 de 7 de Maio	Iscte	2002-2011	Ensino	
20/03/2003	TRUE	Segunda Guerra do Golfo	Internacional	2002-2011		
3/04/2003	TRUE	Resolução da AR nº 31/2003, medidas de enquadramento das praxes académicas	Nacional	2002-2011	Campus	
22/09/2003	TRUE	Apresentação do Portuguese Journal of Social Science	Iscte	2002-2011	Investigação	
21/10/2003	TRUE	Greve nacional estudantil contra as propinas	Nacional	2002-2011		
22/10/2003	TRUE	Declaração de Berlim sobre acesso aberto ao conhecimento nas ciências e humanidades	Internacional	2002-2011		
28/10/2003	TRUE	Honoris Causa atribuído a Serge Moscovici ✝︎	Iscte	2002-2011	Identidade	Pessoas
22/01/2004	TRUE	Licenciamento inicial da plataforma e-learning Blackboard	Iscte	2002-2011	Ensino	Comunidade
1/05/2004	TRUE	UE: adesão de Chipre, Eslováquia, Eslovénia, Estónia, Hungria, Letónia, Lituânia, Malta, Polónia, República checa	Internacional	2002-2011		
6/07/2004	TRUE	Primeiro doutoramento em Métodos Quantativos, Maria Teresa Calapêz	Iscte	2002-2011	Memória	Pessoas
22/11/2004	TRUE	Protocolo para a Biblioteca Central de Estudos Africanos (BCEA); https://bcea.cei.iscte-iul.pt/2020/08/biblioteca-central-de-estudos-africanos/	Iscte	2002-2011	Infraestruturação	
26/12/2004	TRUE	Terramoto e sismo submarinos no Índico: 230.000 mortos	Internacional	2002-2011		
14/02/2005	TRUE	Plataforma Youtube	Internacional	2002-2011		
28/02/2005	TRUE	Luís Antero Reto eleito presidente do ISCTE	Iscte	2002-2011	Comunidade	Pessoas
12/03/2005	TRUE	José António Vieira da Silva ministro do Trabalho e da Solidariedade Social	Iscte	2002-2011	Comunidade	Pessoas
12/03/2005	TRUE	Maria de Lurdes Rodrigues ministra da Eduação	Iscte	2002-2011	Comunidade	Pessoas
30/04/2005	TRUE	Lançamento do Repositório institucional	Iscte	2002-2011	Desmaterialização	Campus
31/05/2005	TRUE	António Gomes Mota eleito presidente do INDEG	Iscte	2002-2011	Comunidade	Pessoas
3/06/2005	TRUE	Adesão ao CRUP	Iscte	2002-2011	Estatuto	
10/06/2005	TRUE	 Ciberdúvidas alojado num servidor do ISCTE	Iscte	2002-2011	Infraestruturação	
13/06/2005	TRUE	Morte de Álvaro Cunhal, 1913-2005	Nacional	2002-2011		Pessoas
18/07/2005	TRUE	Protocolo com o Instituto Superior Técnico relativo ao Sistema FénixEDU	Iscte	2002-2011	Infraestruturação	
27/07/2005	TRUE	Criação do AUDAX	Iscte	2002-2011	Prestação de Serviços	
13/02/2006	TRUE	Doutoramento em Direito das Empresas (descontinuado), Maria Adelaide Croca	Iscte	2002-2011	Memória	Pessoas
28/02/2006	TRUE	Adequações e criações de cursos ao modelo de Bolonha (15 licenciaturas, 25 mestrados, 4 doutoramentos)	Iscte	2002-2011	Ensino	
28/02/2006	TRUE	Raúl Hestnes Ferreira. Arquitetura e universidade. ISCTE, 1972-2005	Iscte	2002-2011	Memória	Pessoas
17/03/2006	TRUE	Departamento de Contabilidade	Iscte	2002-2011	Comunidade	
17/03/2006	TRUE	Departamento de Finanças	Iscte	2002-2011	Comunidade	
15/05/2006	TRUE	Acesso à RTCS, Rede Ciência Tecnologia Sociedade (Internet)	Iscte	2002-2011	Infraestruturação	
30/05/2006	TRUE	Integração na associação COLUMBUS	Internacional	2002-2011	Redes	
14/06/2006	TRUE	 Adesão a Associação das Universidades de Língua Portuguesa (AULP)	Internacional	2002-2011	Redes	
24/07/2006	TRUE	Licenciatura em Ciência Política. Deliberação nº. 1239/2006, DR nº. 181/2006, Série 2 de 19 de Setembro	Iscte	2002-2011	Ensino	
8/08/2006	TRUE	Constituição da Fundação ISCTE (prestadora de serviços)	Iscte	2002-2011	Prestação de Serviços	
19/10/2006	TRUE	Adesão a European University Association (EUA)	Internacional	2002-2011	Redes	
15/11/2006	TRUE	Adequações e criações de cursos ao modelo de Bolonha (3 licenciaturas, 32 mestrados, 1 mestrado integrado, 7 doutoramentos)	Iscte	2002-2011	Ensino	
1/01/2007	TRUE	UE: adesão da Bulgária e da Roménia	Internacional	2002-2011		
2/01/2007	TRUE	Lançamento de notas na plataforma Fénix	Iscte	2002-2011	Desmaterialização	Ensino
19/03/2007	TRUE	Departamento de Arquitetura e Urbanismo; Despacho nº 856672007, DR 2ª Série nº 92 de 14 de Maio	Iscte	2002-2011	Comunidade	
25/05/2007	TRUE	Associação dos antigos alunos do ISCTE (AAISCTE)	Iscte	2002-2011	Comunidade	Redes
1/07/2007	TRUE	Acesso a residência universitária Prof. José Pinto Peixoto	Iscte	2002-2011	Comunidade	
1/07/2007	TRUE	Desmaterialização da emissão dos diplomas	Iscte	2002-2011	Desmaterialização	Ensino
10/07/2007	TRUE	Acordo de cooperação técnico-financeiro ISCTE-OIT-IEFP-UGT-CGTP	Iscte	2002-2011	Prestação de Serviços	
1/08/2007	TRUE	Protocolo com a Universidade de Ciências e Tecnologia de Macau	Iscte	2002-2011	Redes	
1/09/2007	TRUE	Automatização plena das inscrições do 1º ciclo	Iscte	2002-2011	Desmaterialização	Ensino
10/09/2007	TRUE	Regime Jurídico das Instituições do Ensino Superior RJIES; Lei 62/2007	Nacional	2002-2011	Estatuto	
5/11/2007	TRUE	Agência de Avaliação e Acreditação do Ensino Superior (A3ES); Decreto lei 369/2007	Nacional	2002-2011	Ensino	
